Loading Qwen/Qwen3-8B on cuda:0...
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:   1%|          | 2/399 [00:00<00:30, 12.95it/s]Loading weights:  11%|█         | 43/399 [00:00<00:01, 202.91it/s]Loading weights:  17%|█▋        | 68/399 [00:00<00:01, 216.38it/s]Loading weights:  32%|███▏      | 126/399 [00:00<00:00, 347.00it/s]Loading weights:  41%|████      | 164/399 [00:00<00:00, 342.56it/s]Loading weights:  50%|█████     | 200/399 [00:00<00:00, 339.12it/s]Loading weights:  63%|██████▎   | 252/399 [00:00<00:00, 388.23it/s]Loading weights:  75%|███████▌  | 301/399 [00:00<00:00, 404.01it/s]Loading weights:  86%|████████▌ | 342/399 [00:01<00:00, 400.28it/s]Loading weights:  98%|█████████▊| 391/399 [00:01<00:00, 424.14it/s]Loading weights: 100%|██████████| 399/399 [00:01<00:00, 358.11it/s]
Loaded in 3s, 16.4GB
Layers: 36, hidden: 4096, inter: 12288
Expert layers: 24-35
Trainable: 3,244,032 params (3.2M)
Loading C4...
Training 25000 steps...
Step 17200/25000 | loss=2.4844 | tau=0.140 | route=[0.49,0.51]
Step 17300/25000 | loss=2.6406 | tau=0.135 | route=[0.48,0.52]
Step 17400/25000 | loss=2.6719 | tau=0.130 | route=[0.49,0.51]
Step 17500/25000 | loss=2.7031 | tau=0.125 | route=[0.50,0.50]
Step 17600/25000 | loss=1.8125 | tau=0.120 | route=[0.53,0.47]
Step 17700/25000 | loss=2.3281 | tau=0.115 | route=[0.52,0.48]
Step 17800/25000 | loss=2.9844 | tau=0.110 | route=[0.49,0.51]
Step 17900/25000 | loss=2.3438 | tau=0.105 | route=[0.47,0.53]
Step 18000/25000 | loss=3.2812 | tau=0.100 | route=[0.49,0.51]
  Eval PPL=23.12 CosSim=0.0513
Step 18100/25000 | loss=1.6406 | tau=0.100 | route=[0.53,0.47]
Step 18200/25000 | loss=2.1562 | tau=0.100 | route=[0.51,0.49]
Step 18300/25000 | loss=3.0312 | tau=0.100 | route=[0.48,0.52]
Step 18400/25000 | loss=2.5625 | tau=0.100 | route=[0.50,0.50]
Step 18500/25000 | loss=2.8906 | tau=0.100 | route=[0.51,0.49]
Step 18600/25000 | loss=2.2031 | tau=0.100 | route=[0.48,0.52]
Step 18700/25000 | loss=2.8125 | tau=0.100 | route=[0.52,0.48]
Step 18800/25000 | loss=2.7031 | tau=0.100 | route=[0.50,0.50]
Step 18900/25000 | loss=2.6094 | tau=0.100 | route=[0.47,0.53]
Step 19000/25000 | loss=2.4531 | tau=0.100 | route=[0.48,0.52]
  Eval PPL=17.75 CosSim=0.0509
Step 19100/25000 | loss=3.5000 | tau=0.100 | route=[0.47,0.53]
Step 19200/25000 | loss=2.8594 | tau=0.100 | route=[0.46,0.54]
Step 19300/25000 | loss=2.2969 | tau=0.100 | route=[0.51,0.49]
Step 19400/25000 | loss=2.3438 | tau=0.100 | route=[0.52,0.48]
Step 19500/25000 | loss=2.8750 | tau=0.100 | route=[0.50,0.50]
Step 19600/25000 | loss=3.0312 | tau=0.100 | route=[0.52,0.48]
Step 19700/25000 | loss=2.5781 | tau=0.100 | route=[0.48,0.52]
Step 19800/25000 | loss=2.4219 | tau=0.100 | route=[0.46,0.54]
Step 19900/25000 | loss=3.3281 | tau=0.100 | route=[0.48,0.52]
Step 20000/25000 | loss=2.3281 | tau=0.100 | route=[0.45,0.55]
  Eval PPL=21.00 CosSim=0.0503
Step 20100/25000 | loss=2.6562 | tau=0.100 | route=[0.50,0.50]
Step 20200/25000 | loss=3.3750 | tau=0.100 | route=[0.53,0.47]
Step 20300/25000 | loss=2.5312 | tau=0.100 | route=[0.50,0.50]
Step 20400/25000 | loss=3.0469 | tau=0.100 | route=[0.45,0.55]
Step 20500/25000 | loss=2.8906 | tau=0.100 | route=[0.46,0.54]
Step 20600/25000 | loss=2.6406 | tau=0.100 | route=[0.47,0.53]
Step 20700/25000 | loss=3.0938 | tau=0.100 | route=[0.48,0.52]
Step 20800/25000 | loss=2.6250 | tau=0.100 | route=[0.45,0.55]
Step 20900/25000 | loss=3.2344 | tau=0.100 | route=[0.52,0.48]
Step 21000/25000 | loss=2.5000 | tau=0.100 | route=[0.42,0.58]
  Eval PPL=13.19 CosSim=0.0499
Step 21100/25000 | loss=2.5156 | tau=0.100 | route=[0.47,0.53]
Step 21200/25000 | loss=2.8906 | tau=0.100 | route=[0.51,0.49]
Step 21300/25000 | loss=2.4688 | tau=0.100 | route=[0.46,0.54]
Step 21400/25000 | loss=3.1562 | tau=0.100 | route=[0.50,0.50]
Step 21500/25000 | loss=2.6094 | tau=0.100 | route=[0.53,0.47]
Step 21600/25000 | loss=2.8906 | tau=0.100 | route=[0.54,0.46]
Step 21700/25000 | loss=2.8750 | tau=0.100 | route=[0.46,0.54]
Step 21800/25000 | loss=2.6094 | tau=0.100 | route=[0.48,0.52]
Step 21900/25000 | loss=2.3750 | tau=0.100 | route=[0.49,0.51]
Step 22000/25000 | loss=2.0312 | tau=0.100 | route=[0.46,0.54]
  Eval PPL=12.75 CosSim=0.0498
Step 22100/25000 | loss=2.5312 | tau=0.100 | route=[0.46,0.54]
Step 22200/25000 | loss=3.0781 | tau=0.100 | route=[0.49,0.51]
Step 22300/25000 | loss=1.5000 | tau=0.100 | route=[0.51,0.49]
Step 22400/25000 | loss=2.5469 | tau=0.100 | route=[0.52,0.48]
Step 22500/25000 | loss=2.5938 | tau=0.100 | route=[0.55,0.45]
Step 22600/25000 | loss=2.9062 | tau=0.100 | route=[0.50,0.50]
Step 22700/25000 | loss=3.0938 | tau=0.100 | route=[0.46,0.54]
Step 22800/25000 | loss=2.8750 | tau=0.100 | route=[0.48,0.52]
Step 22900/25000 | loss=2.5000 | tau=0.100 | route=[0.47,0.53]
Step 23000/25000 | loss=2.7969 | tau=0.100 | route=[0.48,0.52]
  Eval PPL=23.88 CosSim=0.0494
Step 23100/25000 | loss=2.0469 | tau=0.100 | route=[0.54,0.46]
Step 23200/25000 | loss=2.5938 | tau=0.100 | route=[0.51,0.49]
Step 23300/25000 | loss=3.3281 | tau=0.100 | route=[0.48,0.52]
Step 23400/25000 | loss=2.6250 | tau=0.100 | route=[0.52,0.48]
Step 23500/25000 | loss=2.8281 | tau=0.100 | route=[0.47,0.53]
Step 23600/25000 | loss=2.7188 | tau=0.100 | route=[0.46,0.54]
Step 23700/25000 | loss=2.8906 | tau=0.100 | route=[0.47,0.53]
Step 23800/25000 | loss=2.4375 | tau=0.100 | route=[0.51,0.49]
